,Phi,k,N_equilibrium
782,10.3,0.34,20.3206
783,10.5,0.34,20.7152
784,2.1,0.34,4.14303
785,2.3,0.34,4.53761
786,2.5,0.34,4.932180000000001
787,3.1,0.76,5.74058e+64
788,3.3,0.76,6.98647e+64
789,3.5,0.76,8.39738e+64
790,3.7,0.76,9.98264e+64
791,3.9,0.76,1.1751e+65
792,4.1,0.76,1.3709800000000001e+65
793,4.3,0.76,1.58665e+65
794,4.5,0.76,1.8230400000000002e+65
795,4.7,0.76,2.08064e+65
796,4.9,0.76,2.36029e+65
797,5.1,0.76,2.66249e+65
798,5.3,0.76,2.98794e+65
799,5.5,0.76,3.33718e+65
800,5.7,0.76,3.7107600000000006e+65
801,5.9,0.76,4.1090200000000005e+65
802,0.7,0.715,4.03085e+53
803,0.9,0.715,1.1108400000000001e+54
804,1.1,0.715,2.4897000000000003e+54
805,1.3,0.715,4.85906e+54
806,1.5,0.715,8.58686e+54
807,1.7,0.715,1.40835e+55
808,1.9,0.715,2.17947e+55
809,10.1,0.715,8.058460000000001e+57
810,10.3,0.715,8.54812e+57
811,10.5,0.715,9.05458e+57
812,2.1,0.715,3.21939e+55
813,2.3,0.715,4.57812e+55
814,2.5,0.715,6.3069e+55
815,2.7,0.715,8.45832e+55
816,2.9,0.715,1.10855e+56
817,3.1,0.715,1.42435e+56
818,3.3,0.715,1.79866e+56
819,3.5,0.715,2.23663e+56
820,9.3,0.055,7.63064
821,9.5,0.055,7.794739999999999
822,9.7,0.055,7.9588399999999995
823,9.9,0.055,8.12294
824,0.1,0.06,0.08303939999999999
825,0.3,0.06,0.24911799999999998
826,0.5,0.06,0.41519700000000004
827,0.7,0.06,0.581276
828,0.9,0.06,0.747354
829,1.1,0.06,0.9134329999999999
830,1.3,0.06,1.07951
831,1.5,0.06,1.24559
